[Mon Apr 30 21:29:12.428489 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428502 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428510 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428519 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428528 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428536 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428545 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428553 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428563 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428570 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428647 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428658 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816296 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816406 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816421 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816430 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816463 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816473 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816482 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816492 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816500 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816509 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816517 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816526 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816534 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816606 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816617 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:29:19.285334 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Catchable fatal error:  Object of class stdClass could not be converted to string in /home/jnisbet/git/IT490-1/game.php on line 89, referer: http://localhost/search.php
[Mon Apr 30 21:35:53.947880 2018] [:error] [pid 5855] [client 127.0.0.1:39618] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 159, referer: http://localhost/search.php
[Mon Apr 30 21:35:57.792631 2018] [:error] [pid 5855] [client 127.0.0.1:39618] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 159, referer: http://localhost/search.php
[Mon Apr 30 21:36:01.492951 2018] [:error] [pid 5855] [client 127.0.0.1:39618] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 159, referer: http://localhost/search.php
[Mon Apr 30 21:36:50.018056 2018] [:error] [pid 5908] [client 127.0.0.1:39684] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
